"ncm","excecao","desc","ipi","concat_desc"
"02042300","","-- Desossadas ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, frescas ou refrigeradas: -- Desossadas"
"02043000","","- Carcaças e meias-carcaças de cordeiro, congeladas ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Carcaças e meias-carcaças de cordeiro, congeladas"
"02044100","","-- Carcaças e meias-carcaças ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, congeladas: -- Carcaças e meias-carcaças"
"02044200","","-- Outras peças não desossadas ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, congeladas: -- Outras peças não desossadas"
"02044300","","-- Desossadas ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, congeladas: -- Desossadas"
"02045000","","- Carnes de animais da espécie caprina ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Carnes de animais da espécie caprina"
"02050000","","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas. ","0","Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
"02061000","","- Da espécie bovina, frescas ou refrigeradas ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, frescas ou refrigeradas"
"02062100","","-- Línguas ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Línguas"
"02062200","","-- Fígados ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Fígados"
